Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Monitoring and diagnosing software requirements","Yiqiao Wang; Sheila A. McIlraith; Yijun Yu; John Mylopoulos","Department of Computer Science, University of Toronto, Toronto, Canada; Department of Computer Science, University of Toronto, Toronto, Canada; Computing Department, Faculty of Maths & Computing, The Open Univ., Walton Hall, Milton Keynes, UK; Department of Computer Science, University of Toronto, Toronto, Canada","Automated Software Engineering","","","","","","","We propose a framework adapted from Artificial Intelligence theories of action and diagnosis for monitoring and diagnosing failures of software requirements. Software requirements are specified using goal models where they are associated with preconditions and postconditions. The monitoring component generates log data that contains the truth values of specified pre/post-conditions, as well as system action executions. Such data can be generated at different levels of granularity, depending on diagnostic feedback. The diagnostic component diagnoses the denial of requirements using the log data, and identifies problematic components. To support diagnostic reasoning, we transform the diagnostic problem into a propositional satisfiability (SAT) problem that can be solved by existing SAT solvers. The framework returns sound and complete diagnoses accounting for observed aberrant system behaviors. Our solution is illustrated with two medium-sized publicly available case studies: a Web-based email client and an ATM simulation. Our experimental results demonstrate the scalability of our approach.","","","https://doi.org/10.1007/s10515-008-0042-8","","https://link.springer.com/content/pdf/10.1007/s10515-008-0042-8.pdf","Requirement monitoring;Diagnostics","Requirement monitoring;Diagnostics","","","","38","311","","","","","",""
"Fast extraction of high-quality framework-specific models from application code","Michał Antkiewicz; Thiago Tonelli Bartolomei; Krzysztof Czarnecki","Generative Software Development Lab, University of Waterloo, 200 University Ave. West, Waterloo, N2L 3G1, ON, Canada; Generative Software Development Lab, University of Waterloo, 200 University Ave. West, Waterloo, N2L 3G1, ON, Canada; Generative Software Development Lab, University of Waterloo, 200 University Ave. West, Waterloo, N2L 3G1, ON, Canada","Automated Software Engineering","","","","","","","Framework-specific models represent the design of application code from the framework viewpoint by showing how framework-provided concepts are instantiated in the code. Retrieving such models quickly and precisely is necessary for practical model-supported software engineering, in which developers use design models for development tasks such as code understanding, verifying framework usage rules, and round-trip engineering. Also, comparing models extracted at different times of the software lifecycle supports software evolution tasks.","","","https://doi.org/10.1007/s10515-008-0040-x","","https://link.springer.com/content/pdf/10.1007/s10515-008-0040-x.pdf","Reverse engineering;Framework-specific models;Framework-specific modeling languages;Static analysis;Object-oriented frameworks;Application programming interface;API","Reverse engineering;Framework-specific models;Framework-specific modeling languages;Static analysis;Object-oriented frameworks;Application programming interface;API","","","","2","119","","","","","",""
"Keyword programming in Java","Greg Little; Robert C. Miller","MIT CSAIL, 32 Vassar Street, Cambridge, MA, 02139, USA; MIT CSAIL, 32 Vassar Street, Cambridge, MA, 02139, USA","Automated Software Engineering","","","","","","","Keyword programming is a novel technique for reducing the need to remember details of programming language syntax and APIs, by translating a small number of unordered keywords provided by the user into a valid expression. In a sense, the keywords act as a query that searches the space of expressions that are valid in the given context. Prior work has demonstrated the feasibility and merit of this approach in limited domains. This paper explores the potential for employing this technique in much larger domains, specifically general-purpose programming languages like Java. We present an algorithm for translating keywords into Java method call expressions. When tested on keywords extracted from existing method calls in Java code, the algorithm can accurately reconstruct over 90% of the original expressions. We tested the algorithm on keywords provided by users in a web-based study. The results suggest that users can obtain correct Java code using keyword queries as accurately as they can write the correct Java code themselves. We implemented the algorithm in an Eclipse plug-in as an extension to the autocomplete mechanism and deployed it in a preliminary field study of several users, with mixed results. One interesting result of this work is that most of the information in Java method call expressions lies in the keywords, and details of punctuation and even parameter ordering can often be inferred automatically.","","","https://doi.org/10.1007/s10515-008-0041-9","","https://link.springer.com/content/pdf/10.1007/s10515-008-0041-9.pdf","Java;Autocomplete;Code assistants","Java;Autocomplete;Code assistants","","","","15","506","","","","","",""
"Requirements model generation to support requirements elicitation: the Secure Tropos experience","Nadzeya Kiyavitskaya; Nicola Zannone","Dipartimento di Ingegneria e Scienza dell’Informazione, Università di Trento, Trento, Italy; Department of Computer Science, University of Toronto, 40 St. George Str., Toronto, Ontario, M5S 2E4, Canada","Automated Software Engineering","","","","","","","In recent years several efforts have been devoted by researchers in the Requirements Engineering community to the development of methodologies for supporting designers during requirements elicitation, modeling, and analysis. However, these methodologies often lack tool support to facilitate their application in practice and encourage companies to adopt them.","","","https://doi.org/10.1007/s10515-008-0028-6","","https://link.springer.com/content/pdf/10.1007/s10515-008-0028-6.pdf","Lightweight text analysis;Model generation","Lightweight text analysis;Model generation","","","","7","222","","","","","",""
"A method and tools for large scale scenarios","Robert J. Hall","AT&T Labs Research, Florham Park, NJ, 07932, USA","Automated Software Engineering","","","","","","","Formal scenarios have many uses in requirements engineering, validation, performance modeling, and test generation. Many tools and methodologies can handle scenarios when the number of steps (interleaved inputs and outputs of the target system) is reasonably small. However, scenario based techniques do not scale well with the number of steps, number of actors, and complexity of behaviors and system interactions to be specified in the scenario. First, it is impractically tedious and error-prone to specify thousands of input steps and corresponding expected outputs. Second, even if one can write down such large scale scenarios, confidence in their correctness is naturally low. Third, complex systems requiring large scale scenarios tend to require many such scenarios to adequately cover the behavior space. This paper describes the motivations for and problems of large scale scenarios, as well as the LSS method, which uses automated and semi-automated techniques in describing, maintaining, communicating, and using large scale scenarios in requirements engineering. The method is illustrated in two widely divergent application domains: military live training instrumentation and electronic mail servers. A case study demonstrates the practical and beneficial use of LSS in architectural modeling of a complex, real-world system design.","","","https://doi.org/10.1007/s10515-008-0026-8","","https://link.springer.com/content/pdf/10.1007/s10515-008-0026-8.pdf","Scenario;Large scale;Requirements engineering;Tools;Automated software engineering","Scenario;Large scale;Requirements engineering;Tools;Automated software engineering","","","","4","139","","","","","",""
"Deriving event-based transition systems from goal-oriented requirements models","Emmanuel Letier; Jeff Kramer; Jeff Magee; Sebastian Uchitel","Department of Computer Science, University College London and London Software Systems, Gower Street, London, WC1E 6BT, UK; Department of Computing, Imperial College London and London Software Systems, 180 Queen’s Gate, London, SW7 2BZ, UK; Department of Computing, Imperial College London and London Software Systems, 180 Queen’s Gate, London, SW7 2BZ, UK; Department of Computing, Imperial College London and London Software Systems, 180 Queen’s Gate, London, SW7 2BZ, UK","Automated Software Engineering","","","","","","","Goal-oriented methods are increasingly popular for elaborating software requirements. They offer systematic support for incrementally building intentional, structural, and operational models of the software and its environment. Event-based transition systems on the other hand are convenient formalisms for reasoning about software behaviour at the architectural level.","","","https://doi.org/10.1007/s10515-008-0027-7","","https://link.springer.com/content/pdf/10.1007/s10515-008-0027-7.pdf","Goal-oriented requirements engineering;Labelled transition systems;Method integration;Requirements animation;Requirements analysis","Goal-oriented requirements engineering;Labelled transition systems;Method integration;Requirements animation;Requirements analysis","","","","45","435","","","","","",""
"On similarity-awareness in testing-based fault localization","Dan Hao; Lu Zhang; Ying Pan; Hong Mei; Jiasu Sun","Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, China","Automated Software Engineering","","","","","","","In the process of software development and maintenance, software debugging is an inevitable and time-consuming task. To accelerate software debugging, various approaches have been proposed to automate fault localization. Among them, testing-based fault-localization approaches are most promising, which use the execution information of many test cases to localize the faults. However, these existing testing-based fault-localization approaches ignore the similarity between test cases, which may harm the effectiveness of these approaches according to our previous research. Therefore, in this paper we propose a similarity-aware fault-localization approach, which takes each test case as a fuzzy set to deal with the similarity between test cases and calculates statements’ suspicions based on the probability theory. To investigate whether SAFL can address the similarity issue effectively, we manually injected redundant test cases in a test suite and performed an experimental study on the original test suite and the test suite with redundancy, respectively. The experimental results demonstrate that in our experiments SAFL is an effective fault-localization approach, whether there is manually injected redundancy in the test suite. To compare SAFL with most existing testing-based fault-localization approaches, we performed another experimental study on Siemens program suite, which is extensively used in the evaluation of many other testing-based fault-localization approaches. This experimental study confirms the effectiveness of SAFL. Based on the two experimental studies, it seems that in our experiments SAFL cannot only deal with test suites containing much redundancy effectively but also perform effectively for test suites without much redundancy.","","","https://doi.org/10.1007/s10515-008-0025-9","","https://link.springer.com/content/pdf/10.1007/s10515-008-0025-9.pdf","Debugging;Maintenance;Fault localization;Fuzzy set","Debugging;Maintenance;Fault localization;Fuzzy set","","","","24","250","","","","","",""
"A portable compiler-integrated approach to permanent checking","Nic Volanschi","1 rue Michel Jeunet, Poissy, 78300, France","Automated Software Engineering","","","","","","","Program checking is now a mature technology, but is not yet used on a large scale. We identify one cause of this gap in the decoupling of checking tools from the everyday development tools. To radically change the situation, we explore the integration of simple user-defined checks into the core of every development process: the compiler. The checks we implement express constrained reachability queries in the control flow graph taking the form “from x to y avoiding z”, where x, y, and z are native code patterns containing a blend of syntactic, semantic and dataflow information. Compiler integration enables continuous checking throughout development, but also a pervasive propagation of checking technology. This integration poses some interesting challenges, including tight bounds on the acceptable overhead, but in turn opens up new perspectives. Factorizing analyses between checking and compiling improves both the efficiency and the expressiveness of the checks.","","","https://doi.org/10.1007/s10515-007-0022-4","","https://link.springer.com/content/pdf/10.1007/s10515-007-0022-4.pdf","Extensible compilers;User-defined checks","Extensible compilers;User-defined checks","","","","3","133","","","","","",""
"Continuous and automated evolution of architecture-to-implementation traceability links","Leonardo G. P. Murta; André van der Hoek; Cláudia M. L. Werner","COPPE—System Engineering and Computer Science, Federal University of Rio de Janeiro, P.O. Box 68511, Rio de Janeiro, RJ, 21945-970, Brazil; Department of Informatics, University of California at Irvine, 221 ICS2 Building, Irvine, CA, 92697-3440, USA; COPPE—System Engineering and Computer Science, Federal University of Rio de Janeiro, P.O. Box 68511, Rio de Janeiro, RJ, 21945-970, Brazil","Automated Software Engineering","","","","","","","A traditional obstacle in the use of multiple representations is the need to maintain traceability among the representations in the face of evolution. The introduction of software architecture, and architecture-based development, has brought this need to architectural descriptions and corresponding source code. Specifically, the task is to relate versions of architectural elements to versions of source code configuration items, and to update those relations as new versions of the architecture and source code are produced. We present ArchTrace, a new approach that we developed to address this problem. ArchTrace distinguishes itself by continuously updating traceability relations from architectural elements to code elements through a policy-based extensible infrastructure that allows a group of developers to choose a set of traceability management policies that best match their situational needs and/or working styles. We introduce the high-level approach of ArchTrace, discuss its extensible infrastructure, and present our current set of ten pluggable traceability management policies. We conclude with a retrospective analysis of data collected from a twenty month period of development and maintenance of Odyssey, a component-based software development environment comprised of over 50,000 lines of code. This analysis shows that our approach is promising: with respect to the ideal set of traceability links, the policies applied resulted in a precision of 95% and recall of 89%.","","","https://doi.org/10.1007/s10515-007-0020-6","","https://link.springer.com/content/pdf/10.1007/s10515-007-0020-6.pdf","Traceability;Software architecture;Configuration management;Software evolution","Traceability;Software architecture;Configuration management;Software evolution","","","","16","250","","","","","",""
"Differencing and merging of architectural views","Marwan Abi-Antoun; Jonathan Aldrich; Nagi Nahas; Bradley Schmerl; David Garlan","Carnegie Mellon University, Pittsburgh, PA, 15213, USA; Carnegie Mellon University, Pittsburgh, PA, 15213, USA; Carnegie Mellon University, Pittsburgh, PA, 15213, USA; Carnegie Mellon University, Pittsburgh, PA, 15213, USA; Carnegie Mellon University, Pittsburgh, PA, 15213, USA","Automated Software Engineering","","","","","","","Differencing and merging architectural views is an important activity in software engineering. However, existing approaches are still based on restrictive assumptions, such as requiring view elements to have unique identifiers or exactly matching types, which is often not the case in many application domains.","","","https://doi.org/10.1007/s10515-007-0023-3","","https://link.springer.com/content/pdf/10.1007/s10515-007-0023-3.pdf","Tree-to-tree correction;View synchronization;Graph matching","Tree-to-tree correction;View synchronization;Graph matching","","","","14","211","","","","","",""
